Source,Target
Mr_coolsz,Gank_Of_Petojo
Wahid06sulis,NenkMonica
AnakPetaniBiasa,DjumadiPartose1
AnakPetaniBiasa,DPR_RI
PribumiArema,democrazymedia
saplatheamazing,NenkMonica
RAjja072,NenkMonica
Piomonn,aewin86
Faozan_adz,aewin86
Nutmegjazz,NenkMonica
tokyoIune,aewin86
GlHindu,prastow
yourpannn,nabiylarisfa
SOktafitri1304,Yattie2023
SOktafitri1304,bengkeldodo
SOktafitri1304,DokterTifa
SOktafitri1304,Rocky_Antonie
SOktafitri1304,gtobing2903
SOktafitri1304,miggy_joe
put776,tempodotco
irwanrgafar,frans_surya
UCimahi52041,aewin86
UCimahi52041,xquitavee
UCimahi52041,prabowo
alvinsuganda,JurnalAkuntansi
y4n_yodas,CakKhum
dhollyt,CakKhum
kakekapustaja,boahamncook
Ysario_twitz,nabiylarisfa
YusufWi70781128,satriohendri
DiegoSammmuel,alexb14ck
DiegoSammmuel,draftanakunpad2
DiegoSammmuel,fantasshyy
stenlyssimo,CakKhum
rsydy_,nabiylarisfa
PribumiArema,geloraco
be__ruang,vanfikry
MasBolali,sgits1
ara_sofyan,shrlooji
ipin6657379815,democrazymedia
dhollyt,Mdy_Asmara1701
piecesofmeiy,kompascom
si.oyen.2024,capricorn_Meh
si.oyen.2024,nabiylarisfa
sawar1886390,KemenkeuRI
sawar1886390,Heraloebss
sawar1886390,SBYudhoyono
sawar1886390,jokowi
sawar1886390,prabowo
AbuRoufan,CakKhum
fasmufas,tanyarlfes
PribumiArema,Mdy_Asmara1701
Manse_Mangat,PUTRY_NUSANTARA
aditbeem,Mdy_Asmara1701
Abdoeljegger202,AmmarGill
pengemb4r44,PelatihT1dur
bagwoll,tempodotco
frizkin90,jejak_mutan
SyawalSora,AmmarGill
ArikJez,AmmarGill
PeduliAnakNegri,nenglaela93
PeduliAnakNegri,liaasister
Dejavuu33,AmmarGill
Yanzswg,nabiylarisfa
Prihantana23,msaid_didu
BillyAnugrah11,bayuwidodoo
BillyAnugrah11,heriputranto
BillyAnugrah11,prabowo
BillyAnugrah11,Strategi_Bisnis
hwangppil,strayinjeong
Ryu_Umarov13,ezash
wannafigh,raymondchins
ikutnyuit,keuangan
ikutnyuit,keuangannews_id
SOktafitri1304,xquitavee
SOktafitri1304,prabowo
kaizyblue,tanyarlfes
kaizyblue,rrcchjun
kentangmay0,Outstandjing
telenouvela,javascribt
xxxAlinaaa,tanyarlfes
xxxAlinaaa,rrcchjun
kmadytiab,gerryhusaen
kmadytiab,AgusSiswanto789
kmadytiab,Strategi_Bisnis
kmadytiab,h_6usti
kmadytiab,Strategi_Bisnis
leonazhari_,Strategi_Bisnis
Abou_Omar20,MardaniAliSera
mauzakasta,DoankWarto
ManusiaFanaaa,irhamnapermana
ManusiaFanaaa,Strategi_Bisnis
ManusiaFanaaa,irhamnapermana
ManusiaFanaaa,Strategi_Bisnis
SiawFung88,PartaiSocmed
funs_arthaus,hendazay
funs_arthaus,Strategi_Bisnis
Zoetendel,akbarfaizal68
Zoetendel,Franken_blues
tikionly,Saham_fess
sekar_galuh,BudiBukanIntel
_afaz,robyimanuel
shoegazeyy,tempodotco
